rw        r         Tu        Hl        Tl        Hu        L         Kw        y         
0.199552  1118      105702    811.115   88.2028   929.96    1120.36   9777.55   127.581   
0.196777  805.72    76177.1   797.367   75.822    969.547   1120.43   11077.6   202.82    
0.199984  13.3968   81156.6   744.434   91.2438   876.227   1120.61   9941.03   145.703   
0.199067  731.18    85729.2   793.731   79.1924   934.926   1121.08   11962.2   183.534   
0.18885   974.16    84665.3   794.377   72.8833   953.8     1120.31   11718.6   182.837   
0.197039  58.8014   96878.1   719.82    96.6417   917.007   1120.15   10936.3   232.218   
0.195289  407.41    78807.8   803.213   94.5051   950.124   1120.4    12675.5   195.719   
0.19623   30286.7   83426.8   816.6     73.848    930.59    1120.37   12421.4   147.774   
0.186597  812.252   91306.7   792.577   82.548    984.09    1120.28   12948.6   237.283   
0.195192  47.5761   87914.7   715.021   82.9396   855.51    1120.14   12525.4   185.417   
0.196539  295.818   107230    761.403   81.836    947.89    1120.47   10478.8   208.276   
0.198255  17.2961   95123.8   716.44    89.0336   904.974   1120.38   10731.2   220.893   
0.199254  3610.04   96940.2   783.363   90.4507   945.568   1120.37   9952.32   176.344   
0.197652  21.9407   80415.3   721.87    75.4289   848.302   1120.14   10146.3   139.017   
0.178403  795.908   92698.4   801.352   86.6706   939.615   1120.04   10696.3   130.108   
0.188957  186.592   87191.9   725.907   94.3729   844.202   1120.15   10420.6   121.958   
0.186329  10.677    96264.1   809.723   74.3426   991.821   1121.03   10228.6   179.672   
0.197632  54.8327   89850.8   732.719   92.2352   859.386   1120.17   9993.28   137.201   
0.196958  125.586   88199.9   733.528   100.764   884.12    1120.6    12543.8   202.615   
0.18977   90.113    84390.6   742.357   80.6362   883.789   1120.19   10069.6   142.078   
0.191114  391.13    79950.1   734.634   99.2235   934.49    1120.69   11398.3   229.956   
0.1784    31.1975   72986.4   742.629   92.0883   846.605   1120.21   12749.3   117.131   
0.187835  531.511   83756.5   819.704   85.3945   964.942   1120.03   10224.9   144.792   
0.199295  8.88293   97422.4   797.448   80.5703   973.089   1120.63   12048.3   233.282   
0.179667  159.39    81840     783.57    61.3752   952.486   1120.04   12873.6   192.929   
0.192722  83.4566   92992     819.88    85.4714   944.863   1120.15   10850.8   139.485   
0.193664  45.1125   85375.2   760.689   82.7049   889.84    1120.36   10715.2   143.841   
0.199606  97.2034   90430.9   763.14    80.4442   902.264   1120.34   11468.2   175.499   
0.18985   595.206   94536.8   754.733   109.44    942.305   1120.44   9670.27   181.235   
0.188574  191.102   78234     804.391   79.4695   955.03    1120.02   12654.6   186.867   
0.18476   11.1927   93212.3   785.87    95.1164   939.347   1120.45   12595.2   183.5     
0.183412  153.044   96283.8   759.358   95.472    902.303   1121      12527.7   166.617   
0.186383  29.4612   89829.2   705.048   89.6868   861.972   1120.08   12898.9   195.018   
0.196749  203.917   90595.1   727.608   84.4314   864.497   1120      11082.5   162.17    
0.197351  19.4577   81707.1   811.228   82.8583   934.256   1120.02   12588.4   167.16    
0.199587  1585.16   92336     774.049   69.3233   972.539   1120.12   9876.26   214.142   
0.195837  4068.41   86856     733.282   89.0794   893.111   1120.44   11323.1   190.489   
0.190784  4.30173   88386.1   785.177   99.1698   927.739   1120.04   10694.6   154.811   
0.198986  432.642   86778.1   751.813   88.4735   893.773   1120.01   9880.03   153.445   
0.199493  14340.9   76208.4   747.838   87.4053   892.716   1120.07   10758.6   169.83    
0.194327  90.3622   79116.2   723.983   77.5423   841.179   1120.2    11193.7   136.884   
0.19977   1418.27   84921.7   715.732   75.9818   907.442   1120.1    11633.1   243.73    
0.190128  17.1504   91477.5   779.379   100.964   971.325   1120.15   10121.3   195.536   
0.191934  8.61448   84463.6   769.96    86.299    968.393   1120.76   12190.4   247.599   
0.191629  25.425    78649.7   804.141   98.4144   977.838   1120.33   10551.4   187.116   
0.196854  127.514   88333.4   813.398   85.0071   941.254   1120.42   12642.1   172.751   
0.195863  38.1806   77800.8   807.419   88.593    922.238   1120.45   10981     134.117   
0.195583  47.275    98681.9   707.925   92.3843   849.246   1120.71   12915.7   193.189   
