sigma_e   rw        r         Tu        Tl        L         Kw        
1.99161   0.142116  1.23202   106173    74.5675   1218.58   11838.4   
2.00222   0.142477  4513.24   88682     74.8012   1386.42   11407.9   
2.2031    0.166535  1.28384   108002    114.351   1343.71   10855.1   
2.25508   0.168232  33851.1   75352.9   83.8286   1650.98   11564.3   
1.73014   0.176993  5.46814   114104    72.8169   1525.47   10119.2   
1.98865   0.163179  154.096   72864     64.8408   1637.64   12257     
2.08016   0.137473  14211.1   98664.1   77.3915   1460.23   11561.1   
2.05672   0.153952  62.4267   89248.1   98.9901   1265.96   12551.9   
2.00173   0.150708  6882.28   95490.3   78.0642   1571.51   12147.8   
2.11914   0.146691  46611.3   106644    70.6098   1471.87   12252.1   
1.95039   0.160464  2.65479   106325    106.02    1336.18   12165.1   
2.07982   0.137115  53909.2   87392.8   74.8795   1378.78   10284.4   
2.01914   0.158413  10715.9   108294    75.4648   1186.48   11244.9   
2.21283   0.181534  9830.5    78623.3   96.879    1587.61   11223.7   
1.95186   0.16425   16.0942   95750.2   103.765   1195.03   11691.5   
1.87898   0.156058  143.477   62427.2   89.5854   1361.35   11643.3   
1.96517   0.142296  14.7425   87581.4   97.6718   1477.87   12968.1   
2.21587   0.159916  74.4529   94464.1   89.49     1553.19   11398.4   
1.93035   0.153574  1570.37   63913.6   102.084   1533.32   12461.5   
2.29848   0.170034  1680.11   73110.5   69.3171   1159.4    11357.5   
1.89486   0.170695  42796.4   64428.3   107.989   1217.94   12104.5   
1.95928   0.157623  0.481246  84051.3   67.7342   1416.77   10066     
2.06436   0.169111  2.64188   87851.7   107.876   1195.41   11150.9   
2.40113   0.160802  2.18854   87589.8   98.0241   1211.13   11997     
1.94428   0.158898  45972.6   115197    105.734   1335.29   12987.4   
2.01036   0.170221  267.467   86395.3   109.965   1431.77   11376.7   
1.96966   0.15966   0.972132  86464.9   110.448   1333.85   12266.9   
2.0341    0.1574    2896.03   89076.6   113.824   1466.4    11471.2   
1.90685   0.141899  34896.5   114533    109.531   1582.21   12603.3   
1.86501   0.166832  2392.42   115558    77.8926   1466.04   10784.9   
1.94992   0.174388  19412.7   77248.9   93.7788   1623.18   9665.75   
1.99107   0.15659   875.13    64153.2   111.591   1120.34   11147.8   
2.00663   0.156265  1429.9    65559.8   78.62     1209.17   11464.7   
2.19336   0.160568  15655.8   111769    63.8087   1468.82   12364.7   
2.10698   0.142759  73.8863   99615.6   114.816   1344.16   11778.2   
2.0354    0.147739  21.7823   85080.3   62.6657   1333.22   12053     
2.00708   0.162809  66.7996   67974.5   93.2696   1464.66   10980.1   
2.0171    0.162415  70.1995   86146.9   82.5101   1569.22   9727.69   
2.19846   0.172317  10730.9   108713    97.0505   1497.63   12872.2   
2.01575   0.175718  11259.6   78614     65.8888   1671.79   12098.9   
1.98034   0.154003  601.64    115537    104.694   1546.47   12290.8   
