rw        r         Tu        Hl        Tl        Hu        L         Kw        y         
0.135406  2802.12   86729.7   738.353   97.7357   912.846   1329.88   11525.1   86.404    
0.117751  444.509   79093.9   763.328   86.4063   867.833   1130.64   11632     46.5155   
0.199926  277.196   107405    783.566   93.0643   967.248   1156.78   12648.3   247.979   
0.147935  110.997   82362.8   720.081   80.6899   896.924   1369.58   12652.5   111.397   
0.110968  1703.34   84537.4   753.765   105.277   919.665   1272.68   12166.2   61.0221   
0.197125  39.9701   92834.7   727.15    86.9973   900.759   1657.53   12599.9   159.665   
0.161824  739.106   70884.3   749.657   86.1999   880.815   1366.24   10199.1   79.7867   
0.176236  1094.11   93355.8   765.57    83.5422   937.39    1396.04   10509.5   124.685   
0.179741  15.8877   100274    707.051   80.5658   823.788   1611.5    11113.8   81.2083   
0.105613  1.54645   96607.2   784.501   80.0647   971.056   1433.1    10562.3   48.1148   
0.108872  36.9661   85447.6   715.651   75.87     846.015   1151.02   10497.8   44.0917   
0.165044  150.527   77052     792.569   87.547    930.464   1289.2    9844.87   89.3889   
0.159835  1845.78   95593.7   809.599   97.4809   975.841   1226.05   10809.3   116.372   
0.124842  80.9514   99190.5   774.534   84.2563   905.016   1219.4    9743.8    50.8081   
0.187576  8.12292   96569.8   707.983   99.4076   872.645   1671.23   10382     112.601   
0.16094   31.8613   81081.1   746.075   95.9736   898.808   1142.44   12301     132.798   
0.112244  41.6827   92132.8   756.475   101.587   900.58    1605.9    11885.2   42.0982   
0.179228  142.124   82097.8   772.519   89.9336   907.448   1451.08   10674.3   99.2932   
0.156622  241.655   91025.6   717.296   79.7773   835.328   1561.98   12797.3   73.8404   
0.198061  66.9231   103228    756.813   88.5601   938.704   1158.4    11917.4   227.589   
0.159027  250.429   105965    732.848   90.2814   911.401   1361.89   9555.23   98.8149   
0.111337  1042.13   75969.7   748.164   87.4083   871.747   1310.05   11763.6   42.9648   
0.160662  173.076   88971.5   748.274   89.0683   856.868   1621.2    10235.2   55.2431   
0.126232  3.25419   69172.6   803.719   71.5826   965.521   1306.93   12213.4   75.4373   
0.172762  9.81971   81426.8   711.178   102.027   873.944   1206.47   12106.9   152.25    
0.171132  19.6149   93849.4   743.205   86.4699   913.777   1544.67   12715.2   128.334   
0.155377  16.1805   70770.8   752.447   82.5495   948.22    1584.93   12760.6   118.895   
0.126159  1233.58   91667     730.762   93.198    919.253   1291.71   11452     82.981    
0.171854  137.258   85260.8   728.61    66.9429   866.321   1374.97   12237.9   112.249   
0.17106   59.398    77994.2   806.803   75.0168   984.643   1212.24   12080.6   161.087   
0.139593  1867.71   83783.4   714.817   76.4518   828.882   1471.84   12023.3   56.4824   
0.185063  64.3201   85172.1   718.777   99.6501   904.167   1198.3    11541.7   190.278   
0.195915  66.0723   95831.2   739.479   100.367   917.185   1628.86   11584.5   151.201   
0.187694  134.649   83267.7   754.703   95.179    926.192   1295.3    12245.5   177.387   
0.168151  519.406   81879.5   795.582   85.1434   991.401   1617.92   11452.6   121.973   
0.13821   1150.67   90680.6   739.011   89.9072   852.128   1191.3    10888.5   61.5047   
0.172505  99.7899   74261.8   782.817   82.4271   891.473   1351.47   10083.3   75.1437   
0.13415   79.8215   98570.8   766.534   97.0094   882.745   1668.51   12033.6   47.1833   
0.109805  160.127   83356.6   748.622   78.028    852.959   1677.38   11607.5   27.2429   
0.176305  8051.45   78983.7   768.312   87.3475   953.29    1637.91   10992.6   119.694   
0.127286  55.2752   102348    712.821   92.7836   910.689   1547.23   12888.1   83.522    
0.182127  249.378   91349.6   765.675   102.634   937.865   1487.25   11506.8   137.584   
0.112114  417.693   81975.3   815.405   83.0283   954.546   1522.15   12127.7   43.5606   
0.128038  24.7905   91272.3   756.274   95.4477   936.482   1609.03   12318     70.8064   
0.114654  1016.46   86605.3   754.28    81.8417   907.574   1336.79   10831.3   50.9922   
0.185379  3026.75   100798    754.052   90.1928   864.809   1492.96   11181.7   88.3336   
0.132599  13.6491   80406.7   714.224   73.5901   907.17    1342.51   11152.2   88.1279   
0.111095  122.168   106900    814.149   105.242   926.012   1156.36   12352.7   46.1303   
0.163616  742.587   84442.2   805.325   92.9052   993.98    1553.94   10551.1   106.848   
0.181002  148.44    97967.2   746.592   89.6543   850.523   1394.99   12014.1   91.1625   
0.185626  193.623   93485.9   813.479   84.1321   958.815   1432.3    9942.13   108.137   
0.108416  1585.85   85650.8   781.713   86.855    948.956   1358.76   12218.5   55.2113   
0.129363  729.208   88596.3   785.602   89.8486   900.368   1393.23   9601.94   41.3538   
0.137664  30.2092   96123.8   731.261   95.9229   896.606   1547.35   10850.1   68.7713   
0.14589   4.55009   88603.7   713.579   88.3539   835.074   1295.65   10778.7   67.3507   
0.153913  50.2576   90810.5   813.36    79.1728   964.909   1121      10292.7   102.739   
0.137249  117.056   86643.8   759.305   84.6622   956.133   1483.31   10577     82.6155   
0.150183  1.97917   96786.9   759.284   95.6707   880.708   1131.1    12910.7   97.8683   
0.15374   344.894   92498.9   791.288   81.1421   945.438   1431.77   10466.6   82.9938   
0.153739  215.409   79612.7   748.769   85.0878   896.62    1590.19   10941.2   75.0172   
0.150142  12337.6   99283.5   785.555   107.989   969.97    1519.91   12063.6   102.696   
0.16016   2902.79   91764.6   754.326   96.2408   873.899   1603.86   10708.8   63.7809   
0.112619  14.6188   76894.5   791.003   74.1961   899.221   1663.05   12259.1   31.6881   
0.102     10.6059   83659.7   709.222   78.4917   853.766   1247.49   9621.71   36.3522   
0.145289  11.1651   93645.1   759.21    79.9789   956.088   1476.92   10823.1   95.2764   
0.175836  5350.75   89624.7   716.406   79.5033   881.232   1580.99   10828.7   108.169   
0.115166  1619.62   99040.9   778.553   99.5725   967.738   1140.84   12263.4   84.1609   
0.193822  522.043   98673.9   714.171   102.489   823.914   1523.96   12662.5   106.337   
0.183774  109.79    87206.7   744.854   99.1922   853.825   1185.17   11883.5   114.677   
